,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg)
4519.0,13.909696373666678,0.7704876978468231,0.0,0.0,0.00018779385458805436,0.0,0.0,1.2247960367479784
4520.0,13.909621616513633,0.7705520126496187,0.0,0.0,0.00018117428180798755,0.0,0.0,1.2249805229264346
4521.0,13.909547265379638,0.7706096754055726,0.0,0.0,0.00017452948225480817,0.0,0.0,1.2251583769026528
4522.0,13.909473324267669,0.770660665598087,0.0,0.0,0.00016785964955874178,0.0,0.0,1.225329573546546
4523.0,13.909399797175768,0.7707049629181238,0.0,0.0,0.00016116497889834695,0.0,0.0,1.2254940879224316
4524.0,13.909326688096877,0.7707425472656044,0.0,0.0,0.00015444566699648502,0.0,0.0,1.2256518952905784
4525.0,13.909254001018667,0.770773398750804,0.0,0.0,0.00014770191211620692,0.0,0.0,1.2258029711087481
4526.0,13.90918173992336,0.7707974976957419,0.0,0.0,0.00014093391405655648,0.0,0.0,1.2259472910337341
4527.0,13.909109908787563,0.7708148246355658,0.0,0.0,0.0001341418741482916,0.0,0.0,1.2260848309228949
4528.0,13.909038511582091,0.7708253603199313,0.0,0.0,0.00012732599524952092,0.0,0.0,1.2262155668356838
4529.0,13.908967552271791,0.7708290857143756,0.0,0.0,0.00012048648174125824,0.0,0.0,1.226339475035174
4530.0,13.908897034815377,0.7708259820016866,0.0,0.0,0.00011362353952289288,0.0,0.0,1.2264565319895795
4531.0,13.90882696316525,0.7708160305832658,0.0,0.0,0.00010673737600757729,0.0,0.0,1.2265667143737706
4532.0,13.908757341267325,0.770799213080486,0.0,0.0,9.982820011753171e-05,0.0,0.0,1.2266699990707863
4533.0,13.908688173060858,0.7707755113360436,0.0,0.0,9.289622227926482e-05,0.0,0.0,1.2267663631733396
4534.0,13.908619462478269,0.7707449074153045,0.0,0.0,8.594165441871247e-05,0.0,0.0,1.2268557839853207
4535.0,13.908551213444975,0.770707383607645,0.0,0.0,7.896470995629156e-05,0.0,0.0,1.2269382390232932
4536.0,13.908483429879203,0.7706629224277862,0.0,0.0,7.196560380187248e-05,0.0,0.0,1.2270137060179862
4537.0,13.908416115691828,0.7706115066171231,0.0,0.0,6.494455234966744e-05,0.0,0.0,1.2270821629157813
4538.0,13.908349274786188,0.7705531191450471,0.0,0.0,5.7901773473036433e-05,0.0,0.0,1.2271435878801944
4539.0,13.908282911057913,0.7704877432102627,0.0,0.0,5.0837486519209754e-05,0.0,0.0,1.227197959293352
4540.0,13.90821702839475,0.7704153622420982,0.0,0.0,4.375191230392758e-05,0.0,0.0,1.2272452557574627
4541.0,13.908151630676382,0.7703359599018095,0.0,0.0,3.6645273105997174e-05,0.0,0.0,1.2272854560962827
4542.0,13.90808672177426,0.7702495200838784,0.0,0.0,2.951779266176654e-05,0.0,0.0,1.2273185393565764
4543.0,13.908022305551425,0.7701560269173039,0.0,0.0,2.2369696159516456e-05,0.0,0.0,1.227344484809571
4544.0,13.907958385862322,0.7700554647668874,0.0,0.0,1.5201210233768996e-05,0.0,0.0,1.227363271952405
4545.0,13.907894966552638,0.7699478182345106,0.0,0.0,8.012562959513669e-06,0.0,0.0,1.227374880509573
4546.0,13.907832051459115,0.7698330721604083,0.0,0.0,8.039838463512539e-07,0.0,0.0,1.227379290434362
