V,alpha,beta,p,q,r,phi,theta,elevator,aileron,rudder,eta,type
13.016514068900001,2.054614347,0.0,0.0,0.0,0.0,0.0,2.6498475722,-5.106269869,0.0,0.0,0.1836,elevator
13.0065365707,2.0689984963,0.0,0.0,0.0,0.0,0.0,2.6630443657,-5.1393556108,0.0,0.0,0.1836,elevator
12.9965589647,2.0833652383000003,0.0,0.0,0.0,0.0,0.0,2.6761732201,-5.1723690032,0.0,0.0,0.1836,elevator
12.9865812523,2.0977149135,0.0,0.0,0.0,0.0,0.0,2.6892346788,-5.2053110307,0.0,0.0,0.1836,elevator
12.9766034353,2.1120478571,0.0,0.0,0.0,0.0,0.0,2.7022292763999998,-5.2381826617,0.0,0.0,0.1836,elevator
12.9666255153,2.1263643993,0.0,0.0,0.0,0.0,0.0,2.7151575395,-5.2709848491,0.0,0.0,0.1836,elevator
12.956647493800002,2.1406648654,0.0,0.0,0.0,0.0,0.0,2.7280199863999997,-5.3037185307,0.0,0.0,0.1836,elevator
12.9466693724,2.1549495759,0.0,0.0,0.0,0.0,0.0,2.7408171273,-5.3363846294,0.0,0.0,0.1836,elevator
12.9366911525,2.1692188463999997,0.0,0.0,0.0,0.0,0.0,2.7535494649000003,-5.3689840533,0.0,0.0,0.1836,elevator
12.9267128358,2.183472988,0.0,0.0,0.0,0.0,0.0,2.7662174938999997,-5.401517696699999,0.0,0.0,0.1836,elevator
12.9167344236,2.1977123073,0.0,0.0,0.0,0.0,0.0,2.7788217019999997,-5.4339864397,0.0,0.0,0.1836,elevator
12.9067559174,2.2119371065,0.0,0.0,0.0,0.0,0.0,2.7913625692000004,-5.4663911492,0.0,0.0,0.1836,elevator
12.8967773185,2.2261476834000002,0.0,0.0,0.0,0.0,0.0,2.8038405685,-5.498732678500001,0.0,0.0,0.1836,elevator
12.8867986284,2.2403443317,0.0,0.0,0.0,0.0,0.0,2.8162561661,-5.531011868099999,0.0,0.0,0.1836,elevator
12.876819848499998,2.2545273409999997,0.0,0.0,0.0,0.0,0.0,2.828609821,-5.5632295459000005,0.0,0.0,0.1836,elevator
12.86684098,2.2686969966,0.0,0.0,0.0,0.0,0.0,2.8409019858,-5.5953865273000005,0.0,0.0,0.1836,elevator
12.856862024200002,2.2828535803,0.0,0.0,0.0,0.0,0.0,2.8531331064,-5.6274836157,0.0,0.0,0.1836,elevator
12.8468829825,2.2969973697,0.0,0.0,0.0,0.0,0.0,2.8653036223000004,-5.6595216025,0.0,0.0,0.1836,elevator
12.8369038561,2.3111286388999996,0.0,0.0,0.0,0.0,0.0,2.8774139669,-5.6915012676,0.0,0.0,0.1836,elevator
12.826924646300002,2.3252476580000003,0.0,0.0,0.0,0.0,0.0,2.8894645670999997,-5.723423379600001,0.0,0.0,0.1836,elevator
12.816945354300001,2.3393546939,0.0,0.0,0.0,0.0,0.0,2.9014558439999996,-5.7552886959,0.0,0.0,0.1836,elevator
12.8069659812,2.3534500097,0.0,0.0,0.0,0.0,0.0,2.9133882127999997,-5.787097963099999,0.0,0.0,0.1836,elevator
12.7969865283,2.3675338651,0.0,0.0,0.0,0.0,0.0,2.9252620827999998,-5.8188519171,0.0,0.0,0.1836,elevator
12.7870069967,2.3816065165,0.0,0.0,0.0,0.0,0.0,2.9370778578,-5.850551283500001,0.0,0.0,0.1836,elevator
12.7770273875,2.3956682169,0.0,0.0,0.0,0.0,0.0,2.9488359358,-5.8821967776,0.0,0.0,0.1836,elevator
12.767047701900001,2.4097192162,0.0,0.0,0.0,0.0,0.0,2.9605367096,-5.9137891049,0.0,0.0,0.1836,elevator
12.757067941099999,2.423759761,0.0,0.0,0.0,0.0,0.0,2.9721805664,-5.9453289609,0.0,0.0,0.1836,elevator
12.7470881059,2.4377900949,0.0,0.0,0.0,0.0,0.0,2.9837678883999996,-5.9768170315999996,0.0,0.0,0.1836,elevator
12.7371081977,2.4518104585,0.0,0.0,0.0,0.0,0.0,2.9952990526,-6.0082539937,0.0,0.0,0.1836,elevator
12.7271282173,2.4658210892,0.0,0.0,0.0,0.0,0.0,3.0067744308999997,-6.0396405148,0.0,0.0,0.1836,elevator
12.7171481658,2.4798222218,0.0,0.0,0.0,0.0,0.0,3.0181943902999997,-6.070977253200001,0.0,0.0,0.1836,elevator
12.707168044300001,2.4938140881999997,0.0,0.0,0.0,0.0,0.0,3.029559293,-6.1022648588,0.0,0.0,0.1836,elevator
12.6971878537,2.5077969173,0.0,0.0,0.0,0.0,0.0,3.0408694963,-6.1335039724,0.0,0.0,0.1836,elevator
12.687207595,2.5217709353999997,0.0,0.0,0.0,0.0,0.0,3.0521253531,-6.164695226799999,0.0,0.0,0.1836,elevator
12.677227269300001,2.5357363662,0.0,0.0,0.0,0.0,0.0,3.0633272114,-6.1958392462,0.0,0.0,0.1836,elevator
12.6672468774,2.5496934306,0.0,0.0,0.0,0.0,0.0,3.074475415,-6.2269366468,0.0,0.0,0.1836,elevator
12.6572664202,2.5636423472,0.0,0.0,0.0,0.0,0.0,3.0855703032,-6.2579880368,0.0,0.0,0.1836,elevator
12.647285898900002,2.5775833318,0.0,0.0,0.0,0.0,0.0,3.096612211,-6.288994016499999,0.0,0.0,0.1836,elevator
12.6373053141,2.591516598,0.0,0.0,0.0,0.0,0.0,3.1076014689,-6.3199551787,0.0,0.0,0.1836,elevator
12.6273246669,2.6054423566,0.0,0.0,0.0,0.0,0.0,3.1185384037,-6.3508721087,0.0,0.0,0.1836,elevator
12.6173439581,2.6193608165,0.0,0.0,0.0,0.0,0.0,3.1294233377999996,-6.381745384199999,0.0,0.0,0.1836,elevator
12.607363188499999,2.633272184,0.0,0.0,0.0,0.0,0.0,3.1402565895,-6.4125755758,0.0,0.0,0.1836,elevator
12.597382359200001,2.647176663,0.0,0.0,0.0,0.0,0.0,3.1510384735000003,-6.4433632473,0.0,0.0,0.1836,elevator
12.5874014708,2.6610744556,0.0,0.0,0.0,0.0,0.0,3.1617693004,-6.474108955,0.0,0.0,0.1836,elevator
12.5774205243,2.6749657612999997,0.0,0.0,0.0,0.0,0.0,3.172449377,-6.5048132489,0.0,0.0,0.1836,elevator
12.567439520399999,2.6888507776,0.0,0.0,0.0,0.0,0.0,3.1830790063,-6.535476671900001,0.0,0.0,0.1836,elevator
12.55745846,2.7027297000000003,0.0,0.0,0.0,0.0,0.0,3.193658488,-6.5660997607,0.0,0.0,0.1836,elevator
12.5474773438,2.7166027217,0.0,0.0,0.0,0.0,0.0,3.2041881175999998,-6.5966830452,0.0,0.0,0.1836,elevator
12.5374961728,2.7304700341,0.0,0.0,0.0,0.0,0.0,3.2146681876,-6.627227049299999,0.0,0.0,0.1836,elevator
12.5275149475,2.7443318266000003,0.0,0.0,0.0,0.0,0.0,3.2250989867,-6.657732290499999,0.0,0.0,0.1836,elevator
12.5175336688,2.7581882864,0.0,0.0,0.0,0.0,0.0,3.2354808004000004,-6.6881992803,0.0,0.0,0.1836,elevator
12.5075523375,2.7720395991,0.0,0.0,0.0,0.0,0.0,3.2458139106,-6.7186285242,0.0,0.0,0.1836,elevator
12.4975709543,2.7858859482,0.0,0.0,0.0,0.0,0.0,3.256098596,-6.7490205217999995,0.0,0.0,0.1836,elevator
12.4875895199,2.7997275155000003,0.0,0.0,0.0,0.0,0.0,3.2663351320999996,-6.7793757669,0.0,0.0,0.1836,elevator
12.4776080351,2.8135644810000002,0.0,0.0,0.0,0.0,0.0,3.2765237913,-6.8096947478,0.0,0.0,0.1836,elevator
12.4676265006,2.8273970229,0.0,0.0,0.0,0.0,0.0,3.2866648425,-6.8399779472,0.0,0.0,0.1836,elevator
12.457644917,2.8412253175,0.0,0.0,0.0,0.0,0.0,3.2967585519,-6.8702258421,0.0,0.0,0.1836,elevator
12.447663285199999,2.8550495396,0.0,0.0,0.0,0.0,0.0,3.3068051824,-6.9004389046000005,0.0,0.0,0.1836,elevator
12.4376816056,2.8688698623000004,0.0,0.0,0.0,0.0,0.0,3.3168049942,-6.9306176011,0.0,0.0,0.1836,elevator
12.4276998792,2.8826864569,0.0,0.0,0.0,0.0,0.0,3.3267582442,-6.9607623931,0.0,0.0,0.1836,elevator
12.4177181064,2.8964994934,0.0,0.0,0.0,0.0,0.0,3.3366651867000003,-6.9908737369,0.0,0.0,0.1836,elevator
